縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
8,1110630,4,201,201
8,1110531,4,201,201
8,1110430,4,201,201
8,1110331,4,201,201
8,1110228,4,201,201
8,1110131,4,201,201
8,1101231,4,201,201
8,1101130,4,201,201
8,1101031,4,201,201
8,1100930,4,201,199
8,1100831,4,199,191
8,1100731,4,191,191
8,1100630,4,191,191
8,1100531,4,191,191
8,1100430,4,191,191
8,1100331,4,191,191
8,1100228,4,191,185
8,1100131,4,185,185
8,1091231,4,185,185
8,1091130,4,185,176
8,1091031,4,176,176
8,1090930,4,176,176
8,1090831,4,176,176
8,1090731,4,176,176
8,1090630,4,176,176
8,1090531,4,176,176
8,1090430,4,176,176
8,1090331,4,176,176
8,1090229,4,176,176
8,1090131,4,176,176
8,1081231,4,176,157
8,1081130,4,157,152
8,1081031,4,152,152
8,1080930,4,152,147
8,1080831,4,147,147
8,1080731,4,147,147
8,1080630,4,147,141
8,1080531,4,141,141
8,1080430,4,141,141
8,1080331,4,141,140
8,1080228,4,140,140
8,1080131,4,140,140
9,1120531,4,133,133
9,1120430,4,133,133
9,1120331,4,133,133
9,1120228,4,133,133
9,1120131,4,133,133
9,1111231,4,133,133
9,1111130,4,133,132
9,1111031,4,132,132
9,1110930,4,132,132
9,1110831,4,132,132
9,1110731,4,132,129
9,1110630,4,129,129
9,1110531,4,129,129
9,1110430,4,129,129
9,1110331,4,129,129
9,1110228,4,129,130
9,1110131,4,130,130
9,1101231,4,130,130
9,1101130,4,130,130
9,1101031,4,130,130
9,1100930,4,130,130
9,1100831,4,130,130
9,1100731,4,130,127
9,1100630,4,127,125
9,1100531,4,125,125
9,1100430,4,125,125
9,1100331,4,125,125
9,1100228,4,125,125
9,1100131,4,125,126
9,1091231,4,126,141
9,1091130,4,141,141
9,1091031,4,141,141
9,1090930,4,141,141
9,1090831,4,141,142
9,1090731,4,142,142
9,1090630,4,142,142
9,1090531,4,142,140
9,1090430,4,140,140
9,1090331,4,140,138
9,1090229,4,138,138
9,1090131,4,138,138
9,1081231,4,138,138
9,1081130,4,138,137
9,1081031,4,137,135
9,1080930,4,135,135
9,1080831,4,135,135
9,1080731,4,135,135
9,1080630,4,135,135
9,1080531,4,135,135
9,1080430,4,135,129
9,1080331,4,129,129
9,1080228,4,129,125
9,1080131,4,125,125
10,1120531,4,298,298
10,1120430,4,298,300
10,1120331,4,300,300
10,1120228,4,300,300
10,1120131,4,300,300
10,1111231,4,300,307
10,1111130,4,307,307
10,1111031,4,307,317
10,1110930,4,317,304
10,1110831,4,304,304
10,1110731,4,304,304
10,1110630,4,304,304
10,1110531,4,304,304
10,1110430,4,304,304
10,1110331,4,304,304
10,1110228,4,304,304
10,1110131,4,304,304
10,1101231,4,304,304
10,1101130,4,304,304
10,1101031,4,304,304
10,1100930,4,304,300
10,1100831,4,300,293
10,1100731,4,293,293
10,1100630,4,293,293
10,1100531,4,293,293
10,1100430,4,293,293
10,1100331,4,293,293
10,1100228,4,293,282
10,1100131,4,282,282
10,1091231,4,282,282
10,1091130,4,282,269
10,1091031,4,269,269
10,1090930,4,269,269
10,1090831,4,269,262
10,1090731,4,262,269
10,1090630,4,269,269
10,1090531,4,269,266
10,1090430,4,266,266
10,1090331,4,266,266
10,1090229,4,266,266
10,1090131,4,266,266
10,1081231,4,266,263
10,1081130,4,263,254
10,1081031,4,254,254
10,1080930,4,254,253
10,1080831,4,253,253
10,1080731,4,253,253
10,1080630,4,253,250
10,1080531,4,250,250
10,1080430,4,250,247
10,1080331,4,247,238
10,1080228,4,238,241
10,1080131,4,241,241
11,1120531,4,317,317
11,1120430,4,317,317
11,1120331,4,317,317
11,1120228,4,317,317
11,1120131,4,317,317
11,1111231,4,317,344
11,1111130,4,344,344
11,1111031,4,344,355
11,1110930,4,355,342
11,1110831,4,342,394
11,1110731,4,394,394
11,1110630,4,394,394
11,1110531,4,394,394
11,1110430,4,394,394
11,1110331,4,394,394
11,1110228,4,394,394
11,1110131,4,394,394
11,1101231,4,394,394
11,1101130,4,394,394
11,1101031,4,394,394
11,1100930,4,394,389
11,1100831,4,389,389
11,1100731,4,389,389
11,1100630,4,389,389
11,1100531,4,389,389
11,1100430,4,389,389
11,1100331,4,389,389
11,1100228,4,389,383
11,1100131,4,383,383
11,1091231,4,383,383
11,1091130,4,383,380
11,1091031,4,380,380
11,1090930,4,380,380
11,1090831,4,380,370
11,1090731,4,370,370
11,1090630,4,370,370
11,1090531,4,370,358
11,1090430,4,358,358
11,1090331,4,358,358
11,1090229,4,358,358
11,1090131,4,358,359
11,1081231,4,359,356
11,1081130,4,356,354
11,1081031,4,354,354
11,1080930,4,354,350
11,1080831,4,350,350
11,1080731,4,350,335
11,1080630,4,335,335
11,1080531,4,335,335
11,1080430,4,335,331
11,1080331,4,331,322
11,1080228,4,322,310
11,1080131,4,310,310
12,1120531,4,459,459
12,1120430,4,459,459
12,1120331,4,459,459
12,1120228,4,459,459
12,1120131,4,459,459
12,1111231,4,459,478
12,1111130,4,478,479
12,1111031,4,479,502
12,1110930,4,502,488
12,1110831,4,488,510
12,1110731,4,510,510
12,1110630,4,510,510
12,1110531,4,510,510
12,1110430,4,510,510
12,1110331,4,510,510
12,1110228,4,510,510
12,1110131,4,510,510
12,1101231,4,510,510
12,1101130,4,510,510
12,1101031,4,510,510
12,1100930,4,510,506
12,1100831,4,506,501
12,1100731,4,501,501
12,1100630,4,501,501
12,1100531,4,501,501
12,1100430,4,501,501
12,1100331,4,501,501
12,1100228,4,501,489
12,1100131,4,489,489
12,1091231,4,489,489
12,1091130,4,489,487
12,1091031,4,487,487
12,1090930,4,487,487
12,1090831,4,487,475
12,1090731,4,475,475
12,1090630,4,475,475
12,1090531,4,475,451
12,1090430,4,451,451
12,1090331,4,451,451
12,1090229,4,451,451
12,1090131,4,451,451
12,1081231,4,451,440
12,1081130,4,440,439
12,1081031,4,439,439
12,1080930,4,439,422
12,1080831,4,422,422
12,1080731,4,422,401
12,1080630,4,401,401
12,1080531,4,401,401
12,1080430,4,401,401
12,1080331,4,401,392
12,1080228,4,392,386
12,1080131,4,386,386
13,1120531,4,282,282
13,1120430,4,282,282
13,1120331,4,282,282
13,1120228,4,282,282
13,1120131,4,282,282
13,1111231,4,282,307
13,1111130,4,307,307
13,1111031,4,307,314
13,1110930,4,314,310
13,1110831,4,310,359
13,1110731,4,359,359
13,1110630,4,359,359
13,1110531,4,359,359
13,1110430,4,359,359
13,1110331,4,359,359
13,1110228,4,359,359
13,1110131,4,359,359
13,1101231,4,359,359
13,1101130,4,359,359
13,1101031,4,359,359
13,1100930,4,359,354
13,1100831,4,354,352
13,1100731,4,352,352
13,1100630,4,352,352
13,1100531,4,352,352
13,1100430,4,352,352
13,1100331,4,352,352
