縣市,基地臺
17,650
18,720
21,132
13,863
16,987
11,887
3,2008
6,2503
7,295
22,43
14,748
2,2742
8,412
10,740
9,269
15,613
12,1222
4,3595
1,2666
19,463
5,1849
20,174
17,651
18,721
21,132
13,863
16,989
11,887
3,2016
6,2518
7,295
22,43
14,748
2,2759
8,412
10,740
9,269
15,613
12,1222
4,3595
1,2686
19,463
5,1851
20,174
17,650
18,714
21,130
13,858
16,987
11,887
3,1999
6,2513
7,292
22,42
14,747
2,2754
8,412
10,740
9,270
15,613
12,1223
4,3591
1,2687
19,463
5,1826
20,174
17,650
18,715
21,134
13,856
16,987
11,887
3,1998
6,2515
7,288
22,42
14,746
2,2757
8,411
10,733
9,270
15,615
12,1223
4,3584
1,2673
19,463
5,1828
20,174
17,650
18,715
21,134
13,856
16,987
11,884
3,1995
6,2515
7,285
22,42
14,746
2,2751
8,411
10,733
9,270
15,615
12,1223
4,3571
1,2670
19,463
5,1828
20,174
17,641
18,711
21,130
13,856
16,977
11,884
3,1965
6,2504
7,279
22,41
14,746
2,2719
8,410
10,722
9,270
15,617
12,1224
4,3571
1,2649
19,463
5,1819
20,173
17,643
18,711
21,130
13,841
16,977
11,884
3,1967
6,2500
7,281
22,41
14,739
2,2720
8,410
10,722
9,269
15,584
12,1206
4,3513
1,2649
19,463
5,1769
20,173
17,643
18,710
21,130
13,841
16,977
11,884
3,1953
6,2502
7,281
22,41
14,739
2,2692
8,410
10,722
9,269
15,584
12,1206
4,3513
1,2649
19,463
5,1769
20,173
17,642
18,710
21,130
13,841
16,974
11,884
3,1936
6,2500
7,281
22,41
14,739
2,2676
8,410
10,722
9,269
15,584
12,1206
4,3513
1,2638
19,463
5,1763
20,173
17,642
18,714
21,130
13,830
16,966
11,868
3,1936
6,2492
7,281
22,43
14,723
2,2676
8,410
10,722
9,269
15,541
12,1197
4,3415
1,2645
19,453
5,1700
20,172
17,642
18,714
21,122
13,817
16,923
11,854
3,1936
6,2436
7,281
22,43
14,712
2,2676
8,410
10,722
9,269
15,541
12,1180
4,3317
1,2645
19,453
5,1695
20,172
17,632
18,702
21,122
13,817
16,923
11,854
3,1936
6,2421
7,275
22,43
14,712
2,2669
8,399
10,700
9,269
15,541
12,1182
4,3321
1,2630
19,453
5,1693
20,169
17,632
18,702
21,124
13,810
16,923
11,852
3,1936
6,2409
7,275
22,43
14,711
2,2669
8,399
10,700
9,269
15,541
12,1178
4,3290
1,2630
19,439
5,1689
20,169
17,632
18,701
21,124
13,810
16,923
11,852
3,1911
6,2409
7,275
22,42
14,711
2,2659
8,399
10,700
9,269
15,541
12,1178
4,3290
1,2617
19,439
5,1689
20,169
17,632
18,701
21,126
13,810
16,921
11,852
3,1911
6,2409
7,275
22,42
14,711
2,2659
8,399
10,700
9,271
15,541
12,1178
4,3290
1,2617
19,437
5,1691
20,169
17,632
18,701
21,126
13,810
16,919
11,852
3,1911
6,2362
7,275
22,42
14,711
2,2659
8,399
10,700
9,271
15,538
12,1178
4,3292
1,2617
19,437
5,1660
20,169
17,632
18,701
21,126
13,810
16,919
11,852
3,1894
6,2359
7,277
22,42
14,711
2,2641
8,391
10,683
9,271
15,535
12,1178
4,3292
1,2617
19,437
5,1616
20,169
17,630
18,699
21,126
13,810
16,919
11,852
3,1882
6,2322
7,277
22,42
14,711
2,2627
8,391
10,683
9,271
15,535
12,1178
4,3292
1,2600
19,437
5,1619
20,169
17,630
18,697
21,126
13,801
16,920
11,844
3,1879
6,2322
7,277
22,42
14,708
2,2612
8,391
10,683
9,269
15,527
12,1167
4,3242
1,2584
19,420
5,1619
20,169
17,630
18,697
21,124
13,801
16,922
11,839
3,1879
6,2311
7,277
22,42
14,708
2,2612
8,386
10,675
9,269
15,527
12,1167
4,3235
1,2584
19,420
5,1619
20,169
17,630
18,697
21,124
13,801
16,922
11,839
3,1865
6,2311
7,277
22,42
14,708
2,2610
8,386
10,675
9,269
15,527
12,1167
4,3235
1,2584
19,420
5,1619
20,169
17,621
18,698
21,124
13,793
16,884
11,828
3,1882
6,2309
7,272
22,42
14,706
2,2656
8,386
10,675
9,265
15,509
12,1143
4,3142
1,2636
19,420
5,1551
20,169
17,621
18,698
21,126
13,793
16,890
11,828
3,1882
6,2318
7,272
22,42
14,706
2,2656
8,386
10,681
9,260
15,495
12,1143
4,3142
1,2636
19,422
5,1554
20,171
17,622
18,701
21,126
13,793
16,890
11,828
3,1882
6,2320
7,272
22,42
14,706
2,2658
8,386
10,681
9,260
15,495
12,1143
4,3142
1,2636
19,428
5,1554
20,171
17,622
18,701
21,126
13,793
16,890
11,828
3,1882
6,2320
7,272
22,42
14,706
2,2658
8,386
10,681
9,260
15,495
12,1143
4,3142
1,2636
19,428
5,1554
20,171
17,622
18,701
21,126
13,793
16,890
11,828
3,1882
6,2320
7,272
22,42
14,706
2,2658
8,386
10,681
9,260
15,495
12,1143
4,3142
1,2636
19,428
5,1554
20,171
17,620
18,690
21,123
13,785
16,880
11,823
3,1877
6,2301
7,270
22,40
14,699
2,2641
8,386
10,681
9,260
15,494
12,1139
4,3116
1,2627
19,417
5,1549
20,170
17,620
18,690
21,123
13,784
16,880
11,823
3,1877
6,2301
7,270
22,40
14,699
2,2641
8,386
10,681
9,260
15,494
12,1139
4,3116
1,2627
19,417
5,1549
20,170
17,619
18,687
21,123
13,808
16,880
11,826
3,1894
6,2471
7,270
22,40
14,710
2,2887
8,386
10,682
9,260
15,494
12,1196
4,3413
1,2812
19,417
5,1599
20,170
17,598
