統計期,基地臺
1120331,3587
1120331,2652
1120331,454
1120331,1834
1120331,167
1120228,644
1120228,702
1120228,128
1120228,859
1120228,979
1120228,872
1120228,1998
1120228,2487
1120228,295
1120228,39
1120228,748
1120228,2724
1120228,407
1120228,732
1120228,266
1120228,614
1120228,1219
1120228,3572
1120228,2652
1120228,454
1120228,1836
1120228,170
1120131,650
1120131,720
1120131,132
1120131,863
1120131,987
1120131,887
1120131,2008
1120131,2503
1120131,295
1120131,43
1120131,748
1120131,2742
1120131,412
1120131,740
1120131,269
1120131,613
1120131,1222
1120131,3595
1120131,2666
1120131,463
1120131,1849
1120131,174
1111231,651
1111231,721
1111231,132
1111231,863
1111231,989
1111231,887
1111231,2016
1111231,2518
1111231,295
1111231,43
1111231,748
1111231,2759
1111231,412
1111231,740
1111231,269
1111231,613
1111231,1222
1111231,3595
1111231,2686
1111231,463
1111231,1851
1111231,174
1111130,650
1111130,714
1111130,130
1111130,858
1111130,987
1111130,887
1111130,1999
1111130,2513
1111130,292
1111130,42
1111130,747
1111130,2754
1111130,412
1111130,740
1111130,270
1111130,613
1111130,1223
1111130,3591
1111130,2687
1111130,463
1111130,1826
1111130,174
1111031,650
1111031,715
1111031,134
1111031,856
1111031,987
1111031,887
1111031,1998
1111031,2515
1111031,288
1111031,42
1111031,746
1111031,2757
1111031,411
1111031,733
1111031,270
1111031,615
1111031,1223
1111031,3584
1111031,2673
1111031,463
1111031,1828
1111031,174
1110930,650
1110930,715
1110930,134
1110930,856
1110930,987
1110930,884
1110930,1995
1110930,2515
1110930,285
1110930,42
1110930,746
1110930,2751
1110930,411
1110930,733
1110930,270
1110930,615
1110930,1223
1110930,3571
1110930,2670
1110930,463
1110930,1828
1110930,174
1110831,641
1110831,711
1110831,130
1110831,856
1110831,977
1110831,884
1110831,1965
1110831,2504
1110831,279
1110831,41
1110831,746
1110831,2719
1110831,410
1110831,722
1110831,270
1110831,617
1110831,1224
1110831,3571
1110831,2649
1110831,463
1110831,1819
1110831,173
1110731,643
1110731,711
1110731,130
1110731,841
1110731,977
1110731,884
1110731,1967
1110731,2500
1110731,281
1110731,41
1110731,739
1110731,2720
1110731,410
1110731,722
1110731,269
1110731,584
1110731,1206
1110731,3513
1110731,2649
1110731,463
1110731,1769
1110731,173
1110630,643
1110630,710
1110630,130
1110630,841
1110630,977
1110630,884
1110630,1953
1110630,2502
1110630,281
1110630,41
1110630,739
1110630,2692
1110630,410
1110630,722
1110630,269
1110630,584
1110630,1206
1110630,3513
1110630,2649
1110630,463
1110630,1769
1110630,173
1110531,642
1110531,710
1110531,130
1110531,841
1110531,974
1110531,884
1110531,1936
1110531,2500
1110531,281
1110531,41
1110531,739
1110531,2676
1110531,410
1110531,722
1110531,269
1110531,584
1110531,1206
1110531,3513
1110531,2638
1110531,463
1110531,1763
1110531,173
1110430,642
1110430,714
1110430,130
1110430,830
1110430,966
1110430,868
1110430,1936
1110430,2492
1110430,281
1110430,43
1110430,723
1110430,2676
1110430,410
1110430,722
1110430,269
1110430,541
1110430,1197
1110430,3415
1110430,2645
1110430,453
1110430,1700
1110430,172
1110331,642
1110331,714
1110331,122
1110331,817
1110331,923
1110331,854
1110331,1936
1110331,2436
1110331,281
1110331,43
1110331,712
1110331,2676
1110331,410
1110331,722
1110331,269
1110331,541
1110331,1180
1110331,3317
1110331,2645
1110331,453
1110331,1695
1110331,172
1110228,632
1110228,702
1110228,122
1110228,817
1110228,923
1110228,854
1110228,1936
1110228,2421
1110228,275
1110228,43
1110228,712
1110228,2669
1110228,399
1110228,700
1110228,269
1110228,541
1110228,1182
1110228,3321
1110228,2630
1110228,453
1110228,1693
1110228,169
1110131,632
1110131,702
1110131,124
1110131,810
1110131,923
1110131,852
1110131,1936
1110131,2409
1110131,275
1110131,43
1110131,711
1110131,2669
1110131,399
1110131,700
1110131,269
1110131,541
1110131,1178
1110131,3290
1110131,2630
1110131,439
1110131,1689
1110131,169
1101231,632
1101231,701
1101231,124
1101231,810
1101231,923
1101231,852
1101231,1911
1101231,2409
1101231,275
1101231,42
1101231,711
1101231,2659
1101231,399
1101231,700
1101231,269
1101231,541
1101231,1178
