縣市,統計期,業者名稱,基地臺
1,1120228,2,2652
19,1120228,2,454
5,1120228,2,1836
20,1120228,2,170
17,1120131,2,650
18,1120131,2,720
21,1120131,2,132
13,1120131,2,863
16,1120131,2,987
11,1120131,2,887
3,1120131,2,2008
6,1120131,2,2503
7,1120131,2,295
22,1120131,2,43
14,1120131,2,748
2,1120131,2,2742
8,1120131,2,412
10,1120131,2,740
9,1120131,2,269
15,1120131,2,613
12,1120131,2,1222
4,1120131,2,3595
1,1120131,2,2666
19,1120131,2,463
5,1120131,2,1849
20,1120131,2,174
17,1111231,2,651
18,1111231,2,721
21,1111231,2,132
13,1111231,2,863
16,1111231,2,989
11,1111231,2,887
3,1111231,2,2016
6,1111231,2,2518
7,1111231,2,295
22,1111231,2,43
14,1111231,2,748
2,1111231,2,2759
8,1111231,2,412
10,1111231,2,740
9,1111231,2,269
15,1111231,2,613
12,1111231,2,1222
4,1111231,2,3595
1,1111231,2,2686
19,1111231,2,463
5,1111231,2,1851
20,1111231,2,174
17,1111130,2,650
18,1111130,2,714
21,1111130,2,130
13,1111130,2,858
16,1111130,2,987
11,1111130,2,887
3,1111130,2,1999
6,1111130,2,2513
7,1111130,2,292
22,1111130,2,42
14,1111130,2,747
2,1111130,2,2754
8,1111130,2,412
10,1111130,2,740
9,1111130,2,270
15,1111130,2,613
12,1111130,2,1223
4,1111130,2,3591
1,1111130,2,2687
19,1111130,2,463
5,1111130,2,1826
20,1111130,2,174
17,1111031,2,650
18,1111031,2,715
21,1111031,2,134
13,1111031,2,856
16,1111031,2,987
11,1111031,2,887
3,1111031,2,1998
